"Companies","Categorization","Sector","TotalBoardMembers","HausaFulani","Igbo","Yoruba","Minority","NonNative","Years","Employees","OperatingExpenses","TotalExpenses","Sales","Cash","TotalAssets","AssetTurnover","GroupNotgroup","prop_HF_board","prop_I_board","prop_Y_board","prop_M_board","prop_NN_board","homogeneity","diversity"
145,2,3,15,0,2,3,6,4,51,2362,74613000,75355000,159861000,320789000,1711739000,0.09339099009837364,1,0,0.13333333333333333,0.2,0.4,0.26666666666666666,0.4,"1"
148,1,3,20,3,9,5,3,0,59,9787,165680000,172993000,307433000,361927000,4136493000,0.07432213713404084,1,0.15,0.45,0.25,0.15,0,0.45,"1"
149,2,3,8,0,5,1,2,0,18,11,1494323,1894598,4930671,2401282,65760556,0.0749791561981319,1,0,0.625,0.125,0.25,0,0.625,"0"
150,2,3,9,4,1,3,1,0,33,NA,19568590,19827513,44587271,48444604,293052070,0.15214794763265108,2,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.1111111111111111,0,0.4444444444444444,"1"
151,2,3,6,1,5,0,0,0,59,82,3230529,3558641,1870255,111729,10027183,0.1865184867973388,1,0.16666666666666666,0.8333333333333334,0,0,0,0.8333333333333334,"0"
152,2,3,11,1,2,7,1,0,42,272,1170391,1226922,2315705,531701,3484700,0.6645349671420783,2,0.09090909090909091,0.18181818181818182,0.6363636363636364,0.09090909090909091,0,0.6363636363636364,"0"
153,2,2,10,0,1,6,2,1,23,43,744293,16143778,2157614,1261228,27858031,0.0774503409806673,1,0,0.1,0.6,0.2,0.1,0.6,"0"
155,0,3,4,0,1,0,2,1,0,NA,77872,94367,468258,289819,4905498,0.09545575189307996,2,0,0.25,0,0.5,0.25,0.5,"1"
156,2,3,12,5,0,3,3,1,47,101,2418233,2548760,2953792,3659345,11146383,0.2650000453061769,1,0.4166666666666667,0,0.25,0.25,0.08333333333333333,0.4166666666666667,"1"
157,2,2,11,1,3,4,1,2,58,473,4522905,6300637,20330040,710010,12358342,1.6450459131168242,1,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.36363636363636365,"1"
158,2,3,11,1,0,9,0,1,75,1161,43421325,44981405,93389811,65967028,704955604,0.13247615944904242,1,0.09090909090909091,0,0.8181818181818182,0,0.09090909090909091,0.8181818181818182,"0"
159,1,3,13,3,5,2,3,0,30,5982,201934393,201956410,564687000,388853000,5435073000,0.10389685658315904,1,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.23076923076923078,0,0.38461538461538464,"1"
